gene name	test_pipeline	first_sample	second_sample	third_sample
TSPAN6	188.0	394.0	29.0	393.0
TNMD	0.0	0.0	0.0	0.0
DPM1	195.0	171.0	33.0	248.0
SCYL3	3.0	0.0	0.0	0.0
C1orf112	20.0	7.0	0.0	0.0
FGR	0.0	0.0	0.0	0.0
CFH	137.0	33.0	0.0	103.0
FUCA2	417.0	711.0	98.0	713.0
GCLC	19.0	23.0	4.0	0.0
NFYA	1.0	13.0	18.0	0.0
STPG1	1.0	1.0	0.0	0.0
NIPAL3	25.0	109.0	0.0	0.0
LAS1L	61.0	146.0	20.0	382.0
ENPP4	0.0	0.0	0.0	0.0
SEMA3F	0.0	0.0	0.0	0.0
CFTR	0.0	26.0	0.0	0.0
ANKIB1	0.0	1.0	2.0	0.0
CYP51A1	101.0	54.0	20.0	69.0
KRIT1	0.0	5.0	3.0	183.0
RAD52	0.0	19.0	7.0	3.0
MYH16	0.0	1.0	0.0	0.0
BAD	44.0	0.0	0.0	0.0
LAP3	223.0	104.0	23.0	234.0
CD99	89.0	32.0	24.0	27.0
HS3ST1	0.0	0.0	0.0	0.0
AOC1	0.0	0.0	0.0	0.0
WNT16	1.0	0.0	0.0	0.0
HECW1	0.0	0.0	0.0	0.0
MAD1L1	86.0	23.0	0.0	12.0
LASP1	4.0	16.0	6.0	116.0
SNX11	0.0	0.0	0.0	94.0
TMEM176A	0.0	0.0	0.0	0.0
M6PR	160.0	89.0	9.0	212.0
KLHL13	0.0	0.0	1.0	0.0
CYP26B1	0.0	0.0	0.0	0.0
ICA1	82.0	3.0	0.0	1.0
DBNDD1	44.0	1.0	0.0	7.0
ALS2	0.0	23.0	0.0	26.0
CASP10	5.0	7.0	0.0	63.0
CFLAR	39.0	0.0	3.0	109.0
TFPI	142.0	307.0	52.0	308.0
NDUFAF7	0.0	0.0	0.0	0.0
RBM5	0.0	10.0	0.0	70.0
MTMR7	0.0	0.0	0.0	0.0
SLC7A2	5.0	16.0	5.0	35.0
