gene name	test_pipeline	first_sample
TSPAN6	188	394
TNMD	0	0
DPM1	195	171
SCYL3	3	0
C1orf112	20	7
FGR	0	0
CFH	137	33
FUCA2	417	711
GCLC	19	23
NFYA	1	13
STPG1	1	1
NIPAL3	25	109
LAS1L	61	146
ENPP4	0	0
SEMA3F	0	0
CFTR	0	26
ANKIB1	0	1
CYP51A1	101	54
KRIT1	0	5
RAD52	0	19
MYH16	0	1
BAD	44	0
LAP3	223	104
CD99	89	32
HS3ST1	0	0
AOC1	0	0
WNT16	1	0
HECW1	0	0
MAD1L1	86	23
LASP1	4	16
SNX11	0	0
TMEM176A	0	0
M6PR	160	89
KLHL13	0	0
CYP26B1	0	0
ICA1	82	3
DBNDD1	44	1
ALS2	0	23
CASP10	5	7
CFLAR	39	0
TFPI	142	307
NDUFAF7	0	0
RBM5	0	10
MTMR7	0	0
SLC7A2	5	16
ARF5	119	191
SARM1	0	0
POLDIP2	134	246
PLXND1	0	0
AK2	340	159
CD38	1	21
FKBP4	67	66
KDM1A	163	37
RBM6	3	22
CAMKK1	0	8
RECQL	7	1
VPS50	2	0
HSPB6	0	0
ARHGAP33	0	0
NDUFAB1	461	428
PDK4	0	0
SLC22A16	0	0
ZMYND10	0	0
ABCB5	0	1
ARX	0	0
SLC25A13	2	65
ST7	28	4
CDC27	54	125
SLC4A1	0	0
CALCR	1	0
HCCS	154	7
DVL2	1	23
PRSS22	0	0
UPF1	48	0
SKAP2	8	1
SLC25A5	1632	1790
MCUB	0	1
HOXA11	0	0
POLR2J	164	187
DHX33	0	85
MEOX1	0	0
THSD7A	0	23
LIG3	45	8
RPAP3	23	23
ACSM3	0	6
AC004381.6	0	4
CIAPIN1	255	266
SPPL2B	0	4
FAM214B	0	2
COPZ2	0	0
PRKAR2B	0	0
MSL3	0	0
CREBBP	34	5
TSPOAP1	0	0
MPO	0	0
PON1	122	0
GCFC2	35	3
WDR54	9	0
CROT	0	0
ABCB4	0	0
KMT2E	24	56
RHBDD2	149	92
SOX8	0	0
IBTK	49	26
ZNF195	34	33
MYCBP2	0	4
FBXL3	5	33
ITGAL	0	0
PDK2	1	0
ITGA3	0	0
ZFX	4	4
LAMP2	160	186
ITGA2B	0	0
ASB4	0	0
GDE1	110	98
C19orf60	221	104
CRLF1	140	21
OSBPL7	0	0
TMEM98	144	172
YBX2	0	0
KRT33A	0	0
MAP3K14	0	0
ABCC8	0	0
CACNG3	0	0
TMEM132A	0	2
AP2B1	9	5
TAC1	0	0
ZNF263	18	2
CX3CL1	97	6
