gene name	annotation
TSPAN6	gene
TNMD	gene
DPM1	gene
SCYL3	gene
C1orf112	gene
FGR	gene
CFH	gene
FUCA2	gene
GCLC	gene
NFYA	gene
STPG1	gene
NIPAL3	gene
LAS1L	gene
ENPP4	gene
SEMA3F	gene
CFTR	gene
ANKIB1	gene
CYP51A1	gene
KRIT1	gene
RAD52	gene
MYH16	gene
BAD	gene
LAP3	gene
CD99	gene
HS3ST1	gene
AOC1	gene
WNT16	gene
HECW1	gene
MAD1L1	gene
LASP1	gene
SNX11	gene
TMEM176A	gene
M6PR	gene
KLHL13	gene
CYP26B1	gene
ICA1	gene
DBNDD1	gene
ALS2	gene
CASP10	gene
CFLAR	gene
TFPI	gene
NDUFAF7	gene
RBM5	gene
MTMR7	gene
SLC7A2	gene
ARF5	gene
SARM1	gene
POLDIP2	gene
PLXND1	gene
AK2	gene
CD38	gene
FKBP4	gene
KDM1A	gene
RBM6	gene
CAMKK1	gene
RECQL	gene
VPS50	gene
HSPB6	gene
ARHGAP33	gene
NDUFAB1	gene
PDK4	gene
SLC22A16	gene
ZMYND10	gene
ABCB5	gene
ARX	gene
SLC25A13	gene
ST7	gene
CDC27	gene
SLC4A1	gene
CALCR	gene
HCCS	gene
DVL2	gene
PRSS22	gene
UPF1	gene
SKAP2	gene
SLC25A5	gene
MCUB	gene
HOXA11	gene
POLR2J	gene
DHX33	gene
MEOX1	gene
THSD7A	gene
LIG3	gene
RPAP3	gene
ACSM3	gene
AC004381.6	gene
CIAPIN1	gene
SPPL2B	gene
FAM214B	gene
COPZ2	gene
PRKAR2B	gene
MSL3	gene
CREBBP	gene
TSPOAP1	gene
MPO	gene
PON1	gene
GCFC2	gene
WDR54	gene
CROT	gene
ABCB4	gene
KMT2E	gene
RHBDD2	gene
SOX8	gene
IBTK	gene
ZNF195	gene
MYCBP2	gene
FBXL3	gene
ITGAL	gene
PDK2	gene
ITGA3	gene
ZFX	gene
LAMP2	gene
ITGA2B	gene
ASB4	gene
GDE1	gene
C19orf60	gene
CRLF1	gene
OSBPL7	gene
TMEM98	gene
YBX2	gene
KRT33A	gene
MAP3K14	gene
ABCC8	gene
CACNG3	gene
TMEM132A	gene
AP2B1	gene
TAC1	gene
ZNF263	gene
CX3CL1	gene
SPATA20	gene
CACNA1G	gene
TNFRSF12A	gene
DLX6	gene
MAP3K9	gene
RALA	gene
BAIAP2L1	gene
KDM7A	gene
ETV1	gene
AGK	gene
ALDH3B1	gene
TTC22	gene
PHTF2	gene
CCL26	gene
FARP2	gene
USH1C	gene
GGCT	gene
DBF4	gene
TBXA2R	gene
IFRD1	gene
LGALS14	gene
COX10	gene
GTF2IRD1	gene
PAF1	gene
VPS41	gene
ARHGAP44	gene
ELAC2	gene
SCIN	gene
ARSD	gene
PNPLA4	gene
MYH13	gene
ADIPOR2	gene
CDKL3	gene
UPP2	gene
PRSS21	gene
MARK4	gene
PROM1	gene
CCDC124	gene
CEACAM21	gene
PAFAH1B1	gene
NOS2	gene
DNAH9	gene
KIAA0100	gene
SLC13A2	gene
GAS7	gene
TRAPPC6A	gene
MATK	gene
CEACAM7	gene
CD79B	gene
SCN4A	gene
ST7L	gene
TKTL1	gene
PAX6	gene
RPUSD1	gene
RHBDF1	gene
LUC7L	gene
CACNA2D2	gene
BAIAP3	gene
TSR3	gene
PIGQ	gene
CRAMP1	gene
TEAD3	gene
SELE	gene
DNAJC11	gene
FMO3	gene
MYLIP	gene
NOX1	gene
E2F2	gene
PSMB1	gene
SYN1	gene
JARID2	gene
CDKL5	gene
CAMK1G	gene
CDK11A	gene
NADK	gene
TFAP2B	gene
TFAP2D	gene
DLEC1	gene
CYTH3	gene
ADAM22	gene
SYPL1	gene
CYB561	gene
SPAG9	gene
CELSR3	gene
AASS	gene
PLEKHG6	gene
SS18L2	gene
MPND	gene
MGST1	gene
CRY1	gene
PGLYRP1	gene
NFIX	gene
ST3GAL1	gene
MMP25	gene
IL32	gene
PKD1	gene
MAPK8IP2	gene
MED24	gene
RHOBTB2	gene
HEATR5B	gene
SEC62	gene
RPS20	gene
CSDE1	gene
UBE3C	gene
REV3L	gene
TENM1	gene
PAX7	gene
MASP2	gene
IYD	gene
FAM76A	gene
TRAF3IP3	gene
POMT2	gene
VTA1	gene
MLXIPL	gene
BAZ1B	gene
RANBP9	gene
ETV7	gene
SPRTN	gene
METTL13	gene
DYRK4	gene
ZNF207	gene
UQCRC1	gene
STARD3NL	gene
CD9	gene
HHATL	gene
NCAPD2	gene
IFFO1	gene
GIPR	gene
PHF7	gene
SEMA3G	gene
NISCH	gene
STAB1	gene
FUZ	gene
SLC6A13	gene
IDS	gene
PRSS3	gene
ZNF200	gene
CD4	gene
LRRC23	gene
BTK	gene
HFE	gene
SCMH1	gene
FYN	gene
HIVEP2	gene
FMO1	gene
TCEB3	gene
LYPLA2	gene
CLCN6	gene
MRC2	gene
NME1-NME2	gene
SLC6A7	gene
TSPAN9	gene
BTBD7	gene
APBA3	gene
MKS1	gene
ABHD5	gene
ANOS1	gene
AKAP8L	gene
MBTD1	gene
UTP18	gene
RNF216	gene
TTC19	gene
PTBP1	gene
DPF1	gene
SYT7	gene
LARS2	gene
